id,name,category,dest,area,country,region,email,phone,website,address,lat,lng,hygiene,rating,source,channel,priority,status,email_status,segment_reason
cbfa70bf38abaadcb97f,Auntie Mimi’s Real Foods,Supermarket,bath,Bath,GB,UK,myowny@proton.me,+447538633177,,"106 High Street, Bath, BA2 1DB",51.37988,-2.3949,4,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
7164b23f862d08ac4482,Babas Mezze,Restaurant,bath,,GB,UK,babasmezzebath@gmail.com,+441225433315,https://www.babasmezzebath.co.uk/,19 Barton Street BA1 1HG,51.38253,-2.36277,2,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
0fbb1fdc8a9309f7891f,Bailbrook House Hotel,Hotel,bath,Bath,GB,UK,bailbrookhouse@handpicked.co.uk,+441225855100,www.bailbrookhouse.co.uk/,London Road West BA1 7JD Bath,51.40106,-2.33403,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
45e48b13a0affee5a7be,Bakers Of Bath,Bakery,bath,,GB,UK,twertonbakers@gmail.com,+441225423096,http://www.bakersofbath.co.uk,141 High Street BA2 1BZ,51.37994,-2.39248,4,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
ed47708700f6845d798a,Banana Tree,Restaurant,bath,Bath,GB,UK,bath@bananatree.co.uk,+441225433276,https://bananatree.co.uk/restaurants/bath/,15 Milsom Street BA1 1DE Bath,51.3842,-2.36192,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
d7f1ad2ad81efcff384b,Bandook,Indian Restaurant,bath,Bath,GB,UK,bath@bandookkitchen.com,+441225300600,https://bandookkitchen.com/reserve/bath-reserve/,"27 Milsom Place, Bath, BA1 5",51.38401,-2.36052,5,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
54c0316551b613d2c595,Bar and Block Steakhouse,Steakhouse,bath,Bath,GB,UK,barandblock.bath@whitbread.com,+441225618888,http://barandblock.co.uk/,"4 James Street West, Bath, BA1 2BX",51.38076,-2.36433,5,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
274505f68883373bc765,Bath Bowling Club,Sports Club And League,bath,Bath,GB,UK,bathbc@bathbowlingclub.com,+441225429810,https://www.bathbowlingclub.com/,"Pulteney Road, Bath, BA2 4EZ",51.38335,-2.35182,5,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
b6517814f57bcc92969d,Bath Brew House,Bar,bath,,GB,UK,bathbrewhouse@youngs.co.uk,+441225805609,https://thebathbrewhouse.com/,14 James Street West BA1 2BX,51.38107,-2.36539,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
6645522659534d923b06,Bath Cider House,Bar,bath,,GB,UK,bathciderhouse@youngs.co.uk,+441225695100,https://www.bathciderhouse.co.uk/,7 The Paragon BA1 5LS,51.38546,-2.36041,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
bc8a0607c4773ae5a3aa,Bath Golf Club,Golf,bath,Bath,GB,UK,mansec@bathgolfclub.org.uk,+441225463834,http://www.bathgolfclub.org.uk/,"Sham Castle, Golf Course Rd, Bath, BA2 6JG",51.38253,-2.33754,5,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
86cf5e626c9690a8c778,Bath Humbug Shop,Dessert,bath,,GB,UK,thebathhumbugshop@gmail.com,+447703372023,https://www.bathguildhallmarket.co.uk/shops,BA2 4AW,51.38241,-2.35855,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
e6a240304064c4ae1149,Bear Flat Fish & Chips Co.,Street food,bath,Bath,GB,UK,thebearflatfishandchips@gmail.com,+441225464600,http://www.bearflatfishandchips.co.uk/,1 Wellsway BA2 4QL Bath,51.37446,-2.36617,3,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
2a1088f94b414524d21b,Blended Kitchen,Deli,bath,,GB,UK,blendedkitchenenquiries@gmail.com,+447493077467,,143 Englishcombe Lane BA2 2EL,51.3686,-2.38371,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
28510558d6363f841521,Bombay Balti,Street food,bath,,GB,UK,manager@bombaybalti.co.uk,+44 1225 444960,https://bombaybalti.co.uk/,110b Mount Road BA2 1LN,51.37186,-2.39644,3,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
cd8d4127baddf4d24880,Boom Battle Bar Bath,Arcade,bath,Bath,GB,UK,bath@boombattlebar.com,+441225634001,https://www.justgiving.com/page/boom-battle-bar-bath-1?newPage=true,"10 James Street West, Bath, BA1 2",51.38109,-2.36472,4,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
07b744fe6886c0438054,Boston Tea Party,Café,bath,,GB,UK,alfredstreet@bostonteaparty.co.uk,+441225308133,https://bostonteaparty.co.uk/cafes/bath-alfred-street/,8 Alfred Street BA1 2QU,51.38583,-2.36204,4,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
fe6831cb66d3b9aa2222,Cafe 25,Café,bath,Bath,GB,UK,twentyfiveshop@outlook.com,+441225542739,,"25 Holcombe Lane, Bath, BA2 6UL",51.39341,-2.32122,5,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
6662f987527f6ff6f385,Chandos Deli,Deli,bath,,GB,UK,chandos.bath@gmail.com,+441225314418,http://twitter.com/chandosdeli,12 George Street BA1 2EH,51.38455,-2.3632,3,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
45af6d209c7800584e58,Charlotte Brunswick Chocolates,Chocolatier,bath,Bath,GB,UK,charlottebrunswickshop@gmail.com,+441225287669,http://charlottebrunswick.co.uk/,"3 Church Street, Bath, BA1 1NL",51.38079,-2.35874,5,,overture,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
6ab952d3327e00fa2717,Chez Dominique,Restaurant,bath,,GB,UK,eat@chezdominique.co.uk,+44 1225 463482,https://www.chezdominique.co.uk/,15 Argyle Street BA2 4BQ,51.38309,-2.35731,5,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
ff567448b363914a70af,Chicken Express,Street food,bath,Bath,GB,UK,chickenexpmoorland@hotmail.com,+441225308866,https://www.chickenexpress.uk/bath/,51 Moorland Road BA2 3PJ Bath,51.37666,-2.37823,3,,osm,email,1,new,ok,GB: named individual mailbox — personal data under GDPR; B2B corporate-subscriber carve-outs do not reach it
