id,name,category,dest,area,country,region,email,phone,website,address,lat,lng,hygiene,rating,source,channel,priority,status,email_status,segment_reason
e73d3b1558b55de536e8,Cascara Bath,Café,bath,,GB,UK,contact@cascara-cafe.co.uk,+441225542636,http://Www.instagram.com/cascarabath,3 Upper Borough Walls BA1 1RG,51.38283,-2.35972,5,,osm,email,1,new,no_mx,validation: no_mx
8ef64febeff5cab37e3d,The Grapes,Bar,bath,,GB,UK,hello@thegrapesbath.co.uk,+441225727060,https://thegrapesbath.co.uk/,14 Westgate Street BA1 1EQ,51.38131,-2.36169,5,,osm,email,1,new,no_mx,validation: no_mx
5eca430af5c33ea0db50,200 Degrees,Café,liverpool,Liverpool,GB,UK,e. boldstreet@200degs.com,+44 151 2038716,https://200degs.com/pages/locations/liverpool-bold-street,17-19 Bold Street L1 4DN Liverpool,53.40385,-2.97963,3,,osm,email,1,new,bad_syntax,validation: bad_syntax
99fb6bd74cf0d5ffe911,Maedah Grill,Restaurant,london,London,GB,UK,info@maedahgrill.net,+44 20 7377 0649,https://www.maedahgrill.net/,42 Fieldgate Street E1 1ES London,51.5169,-0.06536,1,,osm,email,1,new,no_mx,validation: no_mx
b9b3978af27786938f83,Searcys at The Gherkin,Bar,london,,GB,UK,gherkinreception@searcys.co,,https://searcys.co.uk/venues/the-gherkin/,"30 St Mary Axe, London, EC3A 8BF",51.51449,-0.08039,5,,osm,email,1,new,no_mx,validation: no_mx
02a2232c7efc9ecb1c70,The Rattlin’ Bog Irish Pub,Bar,london,,GB,UK,mailto:info@therattlinbog.co.uk,,https://www.therattlinbog.co.uk/,4 Clapham Common South Side,51.46174,-0.13774,5,,osm,email,1,new,bad_syntax,validation: bad_syntax
3da27695046bb2d19818,The Refinery,Bar,london,London,GB,UK,regentsplace@therefinerybars.co.uk,+44 845 468 0106,https://regentsplace.therefinerybar.co.uk/,5 Brock Street NW1 3FG London,51.52546,-0.14017,5,,osm,email,1,new,no_mx,validation: no_mx
f2f75dc51158d95eddd2,Nom Noms,Restaurant,manchester,Manchester,GB,UK,info@nomnomsgrill.co.uk,+44 161 881 4256,https://nomnomsgrill.co.uk/,430 Wilbraham Road M21 0AS Manchester,53.44261,-2.27533,4,,osm,email,1,new,no_mx,validation: no_mx
8ffbc9367e0c746c4fc9,A'DAM VR Game Park,Attraction,amsterdam,Amsterdam,NL,Europe,sales@adam-vr.com;info@adam-vr.com,+31 20 215 9545,https://adam-vr.com/,15 Overhoeksplein 1031KS Amsterdam,52.3837,4.9027,,,osm,email,2,new,bad_syntax,validation: bad_syntax
db776a22935719cbbcdf,Bar MiMi,Bar,amsterdam,,NL,Europe,mimi@barmomi.nl,+31 20 770 2957,https://barmimi.nl/,35-H Potgieterstraat 1053,52.36953,4.87388,,,osm,email,2,new,no_mx,validation: no_mx
02d9986689f886aa01ab,Caffe Italia,Restaurant,amsterdam,Amsterdam,NL,Europe,:info@caffe-italia-amsterdam.nl,+31 20 330 1200,https://caffe-italia-amsterdam.nl/en/,93 Warmoesstraat 1012HZ Amsterdam,52.37456,4.89711,,,osm,email,2,new,bad_syntax,validation: bad_syntax
3e6ea6d4ae10a3054628,Café Ruis,Bar,amsterdam,Amsterdam,NL,Europe,info@cafe-ruis.nl,+31 20 364 0354,https://cafe-ruis.nl/,9-H Van der Helstplein 1073AR Amsterdam,52.35179,4.8951,,,osm,email,2,new,no_mx,validation: no_mx
35156e87b188cc5a4a1c,International Budget Hostel,Hostel,amsterdam,Amsterdam,NL,Europe,info@internationalbudgethostel.com,+31 20 6242784,https://www.internationalbudgethostel.com/,76 Leidsegracht 1016CR Amsterdam,52.36608,4.88196,,,osm,email,2,new,no_mx,validation: no_mx
012ef35c5cd0e3d0f73b,Koffie ende koecke,Restaurant,amsterdam,Amsterdam,NL,Europe,contact@koffieerdekoecke.nl,,,175 Haarlemmerweg 1051LA Amsterdam,52.38529,4.87164,,,osm,email,2,new,no_mx,validation: no_mx
