id,name,category,dest,area,country,region,email,phone,website,address,lat,lng,hygiene,rating,source,channel,priority,status,email_status,segment_reason
81fd734455e3a05a86e6,123 Gold,Shopping,berlin,Berlin,DE,Europe,berlin@123gold.de,+49 30 610818980,https://www.123gold.de/trauringe-berlin.html,9 Potsdamer Platz 10117 Berlin,52.50853,13.37755,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
50f696f48cb89e407946,1687 RESTAURANT & CAFÉ,Restaurant,berlin,Berlin,DE,Europe,info@1687.berlin,+49 30 20630611,https://1687.berlin/,30 Mittelstraße 10117 Berlin,52.51794,13.38443,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
ff05b558f0f0ca162ea5,180° Cafe Bistro Apero,Café,berlin,Neukölln,DE,Europe,kontakt@180gradcafe.com,+49 178 1843537,https://180gradcafe.com/,52 Oderstraße 12049 Berlin,52.47637,13.41891,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
146961922c638429f4fe,1990 Vegan Living,Restaurant,berlin,Friedrichshain,DE,Europe,info@restaurant1990.de,+49 30 85614761,https://www.restaurant-1990.de/,19 Krossener Straße 10245 Berlin,52.51042,13.45851,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
d24eb048f1bab78c3531,21 gramm,Café,berlin,Neukölln,DE,Europe,reservierung@21gramm.berlin,+49 30 76795810,http://21gramm.berlin/,179 Hermannstraße 12049 Berlin,52.47218,13.42915,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
077fa0bd8d84e6c5dd18,3 Schwestern,Restaurant,berlin,Kreuzberg,DE,Europe,info@3schwestern.com,+49 30 60031860,https://www.3schwestern.com/,2 Mariannenplatz 10997 Berlin,52.50387,13.42428,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
c98ef385615244937bdf,4c Salon,Beauty & spa,berlin,Berlin,DE,Europe,info@4csalon.de,,,9 Gotenstraße 10829 Berlin,52.48295,13.36013,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
3310604099069ba3738e,7days Finest Fresh Food,Street food,berlin,Kreuzberg,DE,Europe,kottis.gemuesekebap@gmail.com,+49 30 830 38323,,175 Reichenberger Straße 10999 Berlin,52.49954,13.41736,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
05ecefc412f4b220339c,8MM,Bar,berlin,Prenzlauer Berg,DE,Europe,info@8mmbar.de,,https://www.8mmbar.de/,177 B Schönhauser Allee 10119 Berlin,52.53122,13.41157,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
1229d5586d49529a29d2,90 °C,Café,berlin,,DE,Europe,90degree.de@gmail.com,+49 174 9401742,https://90degree.de/,1 Novalisstraße,52.52773,13.38927,,,osm,email,2,new,ok,DE: prior consent required for advertising email (DE UWG §7 / AT TKG §174 / CH UWG 3(1)(o)) — private enforcement via Abmahnung
